label,child talk,parent talk
reflection,i'm hungry,you 're hungry oh yeah i can hear your stomach growling
labelled_praise,gives parent a block,you just shared your toy that was sweet
behavior_description,,you 're using a lot of orange
command,,put his arm right here
labelled_praise,,you made an awesome train track
reflection,this is the biggest tower we 've ever built,it is a really big tower
negative_talk,,you are not allowed to run in here
question,,are you drawing our house
negative_talk,,you 're putting the puzzle piece in the wrong spot
question,,where do you want this block
reflection,help me,you want help
behavior_description,,you put the red dress on the doll
question,"now you have one , two , three , four , five , six",and how many do you have
negative_talk,,that one doesn t go there
neutral_talk,,i have a plate for it
neutral_talk,,i'm building it really high
behavior_description,,you picked it up
command,,help me
command,,now you do it
negative_talk,,you know better
neutral_talk,,mommy is drawing
negative_talk,that is the lellow sun,that is not how you say it say yellow
command,,please color elmo green
question,i'm having fun,you are
labelled_praise,somebody jumpy jumpy tail,you are a good builder
negative_talk,,no no not like that
reflection,i'm bored,your bored
neutral_talk,,i like these blocks
command,,just try
reflection,this is hard,this is so hard
reflection,"um , i was making a feast","you were making a feast , got it"
neutral_talk,,oh i see what you 're doing
negative_talk,i dont want it,do n't leave the room
question,,are you sure
neutral_talk,,here i come to get some cake
negative_talk,,no you have to follow my rules
neutral_talk,oh thank you,oh
labelled_praise,,that valentine you made is really special
command,four,sit down
question,potato and mr potato head,"oh , so the picnic will be for the potato heads"
neutral_talk,,i wish i had the potato head
command,,look at these cool toys
behavior_description,,you are sitting in the chair
reflection,this is for you,this one is for me
neutral_talk,uhuh,that is a good tower
command,,let 's color
question,i like the blue one the best,the blue one
command,i wanna do it,grab the piece from there
unlabelled_praise,,look at you
negative_talk,,you 're being really bad right now
negative_talk,,you forgot to pick up the food
neutral_talk,,the easter bunny is going to love this basket
question,i think the doggy is sick,he is
neutral_talk,so maybe we don t have to but i was thinking of making it look like a real house,it would make it look like a real house if we took off the green piece
command,,come sit at the table and color
question,,how can we connect these pieces
question,,do you need help
behavior_description,,you 're walking the bear through the grass
neutral_talk,"oh , come on","he has big , stinky feet"
reflection,i am building a tower,you are building a tower
negative_talk,,oh do n't put that in your mouth
unlabelled_praise,,good thinking
neutral_talk,i'm building a tower,it has three windows
negative_talk,,you 're embarrassing me
reflection,we have more of these in my class,yeah your school has tons of magna tiles
labelled_praise,,you 're a good girl for playing
command,,you have to pick up the toys by yourself
labelled_praise,,you drew a beautiful picture
neutral_talk,,"oh , it s spicy , spicy , spicy pizza"
reflection,let 's play with the cars,ok lets do that
reflection,i am making a spaceship,you are making a spaceship
behavior_description,,you 're trying to get the game
behavior_description,,you made a tower
reflection,at our picnic feast,"at our picnic , but we have to make our picnic"
negative_talk,i drew an ugly cat,you drew an ugly cat
question,,do you like what i am making
negative_talk,,that 's not how that goes
labelled_praise,then then why do they have six,is not that a lovely design you made
labelled_praise,,thanks for handing me that piece
unlabelled_praise,,great house
labelled_praise,,i like that you used your nice words to tell me about your day
labelled_praise,,are n't we the coolest
neutral_talk,,zebras have stripes
question,,do you remember that one time we went sledding at grandma 's house
command,,can you please put the red block on next
labelled_praise,,thanks for putting on your jacket
command,,what letter does your first name start with
question,a car,a car
neutral_talk,,these toys are so cool
question,,what 's gonna go here
reflection,i like captain america,you like captain america
behavior_description,,you found a yellow block
command,,check it out
reflection,it 's a puppy,it is a puppy
unlabelled_praise,,i like that
question,"oh , this is a big one",you wanna make one big one and put it in there
neutral_talk,,a t'' goes next
neutral_talk,,earlier we made a tower
reflection,i love the color red,you love the color red
neutral_talk,,that train is fast
neutral_talk,you can t have ketchup,"oh , yeah , you could if you wanted"
labelled_praise,,you are being a good problem solver
behavior_description,,it looks like you 're trying to pull those pieces apart
neutral_talk,the choo choo is turning,the car is turning
behavior_description,,you 're making a tower
command,i dont go to the bathroom at all,put the truck here and put the car beside it
reflection,zipper is the most cutest cuddliest kitty in the whole world,zipper cuddles you at bedtime
reflection,i win,you won our race
negative_talk,gym is fun,you 're putting the piece in the wrong place
labelled_praise,,i love when you are a good boy
reflection,look mom i made a train,oh yeah a train
reflection,and then i will put some pizza,"oh , you have a pizza"
command,,please hand me a yellow car
neutral_talk,,not yet
labelled_praise,,i love that you remembered to clean up without me asking you to
neutral_talk,,you 're looking angry
unlabelled_praise,,that looks good
negative_talk,,naughty boy
negative_talk,,wow you actually are sitting still
labelled_praise,,"oh , thank you so much"
command,,please hurry up
negative_talk,,do n't take off your glasses again
behavior_description,,you are stacking the red block on the green block
question,a crayon,will you need this car
negative_talk,,if you stop fussing i 'll give you a new game
labelled_praise,,i love how creative you are
reflection,the flowers need to be pink,oh pink
neutral_talk,,that 's a horse
question,,did you put this orange in this pot
question,,that goes in this hole right
negative_talk,,bananas are n't blue (often when children make food out of play doh or color food parents criticize lack of realism )
question,,which one is bigger
reflection,my name starts with m,your name starts with m
command,,calm down please
behavior_description,,we got them all lined up
reflection,here is your ice cream,ice cream
behavior_description,,you found some
neutral_talk,um we can use this as a plate,oh yep
labelled_praise,,you 're a good builder
unlabelled_praise,i'm a basketball player,you 're great
reflection,brmmmm,brmmmm
reflection,this piece do n't fit,the piece does n't fit and you 've tried all the places
question,,is the baby sick
command,,put the markers back
command,,give me some of the blocks
reflection,oh my,oh my
unlabelled_praise,,nice balancing
command,hes gone in the market,i want you to start cleaning up
labelled_praise,,that 's a magnificent truck
reflection,the cow is making a silly face,that cow is making a silly face
command,,make it high okay
negative_talk,,that 's not nice
question,,are you making a train
behavior_description,,you 're making a tall tower
negative_talk,do you like my picture,trees are n't red
negative_talk,,do n't bump your head darling
question,,how long
neutral_talk,,they said to play with anything
reflection,here 's some pancakes for you,some for me
question,i m going to try this one,you re trying the dump truck
negative_talk,,shut up what 's with you today
negative_talk,,it does n't go like that
unlabelled_praise,,nice job
command,,put it in the box okay
negative_talk,,ca n't you sit on the chair
neutral_talk,i want to make a helicopter,no there are n't enough pieces
behavior_description,,you pushed the dump truck down again
negative_talk,poop,do n't say that
command,thats cool,you need to
command,,i want you to play with me
reflection,break,might break
neutral_talk,,when playdough gets stuck it s really hard to get out
neutral_talk,,oh
command,,can you make a circle
behavior_description,,you finished your tree
neutral_talk,"you have to put the inaudible down , but you need a big car",oh
negative_talk,,bad
command,,try and stay in the lines
question,,would you like my help
neutral_talk,,i'm putting a mouth on him
neutral_talk,,that one is red
neutral_talk,,uh oh
command,,you should color it blue
command,,count the toys
neutral_talk,i ca n't do these any good,that 's not true
behavior_description,(picks up blocks),you got a lot of blocks
question,because it won t work,why not
unlabelled_praise,i win,you 're awesome
behavior_description,,connecting the track
behavior_description,,you drove the train
question,,you like those animals do n't you
command,,will you sit in your seat
behavior_description,,you did that fast
negative_talk,child is climbing on parent,that makes me uncomfortable
behavior_description,,those are pretty beads you 're playing with
neutral_talk,,the dolly is going to sleep
behavior_description,,you are building
behavior_description,you will see the,you are playing with the magna doodles
question,i know how to take them out,where 's mr potato head
neutral_talk,,the cow is getting a drink of water
unlabelled_praise,,that 's creative
neutral_talk,,good idea
command,,put this piece here
negative_talk,i am nice,no you 're not
behavior_description,,you 're sitting in a blue chair
labelled_praise,,i like those colors
reflection,no i don t,"oh , you didn t"
question,,marshmellows
neutral_talk,three,i need one more because i have seven and you have eight
command,,read this letter
command,,you can erase that
behavior_description,,you are adding the block to the tower
labelled_praise,,thanks for sharing the toys with me
question,,is it just the yellow playdough
neutral_talk,,i only got the head of this rabbit
labelled_praise,,i ll choose the fig newton flavored cupcake
behavior_description,,you 're putting the red block on top of the yellow block
behavior_description,,you 're drawing a big apple
labelled_praise,,that was smart to put the big one there
neutral_talk,this one no fit to right here,"no , it s not a gravedigger"
question,,you do n't want to play with this anymore
negative_talk,,do n't get out of your chair
behavior_description,,you 're putting the cars in the windowsill
behavior_description,,you found more pieces
labelled_praise,,i like how carefully you 're driving that car
labelled_praise,,you 're playing nicely with the toys
behavior_description,,you 're putting the block there
labelled_praise,,i like how gently you are playing with me
reflection,lipstick,lipstick
labelled_praise,,you are doing a great job putting the toys away in the container
reflection,,repeating colors
neutral_talk,,the is moving around
command,,make a rooster sound why do n't you
command,,find another short log
command,,can you find the pig
labelled_praise,,oh that 's a cute idea
neutral_talk,,i'm driving the car over here
neutral_talk,,the penguin is swimming
behavior_description,,you knocked it over
question,,was n't that exciting
reflection,the plane is flying,it is flying
behavior_description,,you knocked mr potato head off the table
neutral_talk,mhmm,that s cool
question,,did n't that make a big crash
negative_talk,i'm making a gun,we do n't make guns
question,,is this fun
neutral_talk,okay,"oh , a donut cupcake"
question,,are you putting her on there next
neutral_talk,why ca n't grandpa come over tonight,grandpa 's cow had a new calf
command,,put them back
negative_talk,e,that 's not an e
unlabelled_praise,,good sitting
neutral_talk,you wait here,ok i 'll wait here
labelled_praise,,look at the adorable kitten you drew
labelled_praise,,you 're the best builder i 've seen
behavior_description,,are you baking in the oven
question,in here,where did it go
command,,stack it high
labelled_praise,yeah,your picture is pretty
behavior_description,,you 've got all five cars on your side
reflection,i am going to be superman,superman
labelled_praise,,you are a smart little boy
neutral_talk,let s first,"oh , some tea"
unlabelled_praise,,that 's awesome
neutral_talk,,your teacher told me that you like to play legos at school too
reflection,look what i made,look what you made
negative_talk,i made a drawing of you,that 's not very pretty
labelled_praise,,i like how fast you are cleaning up
command,,will you hand me the car
reflection,,you 're playing with legos
negative_talk,,i do n't like it when you talk like that
behavior_description,,you put an ear on your potato head
labelled_praise,,your tree looks great
question,no response,a cow or a giraffe
labelled_praise,take it out,"oh , you so smart"
reflection,,where did everybody go
command,,i want to play with the cars play cars with me
labelled_praise,,thank you for sharing
question,,the gorilla likes the swing huh
negative_talk,,you 're making the cars go too fast they 're going to crash
behavior_description,,you got them apart
behavior_description,,you 're trying to put it on the cabinet
question,,is this my car
negative_talk,i like to eat apples and bananas,apples and bananas
labelled_praise,,you 're taking such good care of that baby doll
behavior_description,,you are frying an egg
neutral_talk,,darn
neutral_talk,,there 's a world map on that bulletin board
negative_talk,caterpillar,you are coloring outside of the lines
negative_talk,,that 's weird lookin'
neutral_talk,,you started building this tower with that big block
neutral_talk,and the other person,um
question,under the table,under the table
reflection,can you play with me,you want me to play
neutral_talk,,the fence is keeping all the animals safe
labelled_praise,,thank you for sitting quietly in your seat
reflection,now we only have one more,one more
negative_talk,do you like my picture,not really
behavior_description,,you 're sitting in your chair
question,,is mommy being silly
command,,let s play with the food right now
negative_talk,,you 're not even trying
negative_talk,child 's toy tower falls,well when you build it that high of course it 's going to fall stop whining about it
labelled_praise,,you are coloring so neatly
labelled_praise,,you did a perfect job coloring that sun
behavior_description,,and holding her gently
command,those are your ears,susie pick the crayon up off the floor
neutral_talk,,this is so much fun
labelled_praise,,i like the way you 're working to make it high
reflection,they are going to have a party,the animals are going to have a party
command,,catch
labelled_praise,,look at the awesome picture you drew
neutral_talk,,you want to build a tower
negative_talk,,do n't bump your head
behavior_description,,you 're laughing
labelled_praise,,thank you for helping pick up
labelled_praise,,i love how you 're staying in your seat
labelled_praise,,i love it when you give me hugs
question,,you picked a red one
command,lily lily,we will talk about that later
neutral_talk,,i like play doh
labelled_praise,,that 's wonderful
labelled_praise,,you 're a good girl for trying
command,carefully,put that one right there on the corner
labelled_praise,,thank you for giving it to me
question,,do you want to draw
question,,why not
command,,if you do n't sit down i 'll spank you
neutral_talk,when you re a grownup you can do,that s true
question,child that 's a red one,that 's a red one
behavior_description,i'm coloring my picture blue,you are coloring it blue
negative_talk,,stop being rough
question,,are you faster than superman
neutral_talk,see my guy i made,uh huh
negative_talk,potato head has three arms,you 're not supposed to put three arms only two
behavior_description,,you 're building a robot
neutral_talk,oh whats this green,i want the bird on the branch
behavior_description,,you 've got it in
neutral_talk,,it looks like you might be getting ready to build
labelled_praise,,i love how neatly you 're organizing the food
command,,let 's try this
behavior_description,,your choosing which crayon you want to color with
negative_talk,look at my potato head,you put the ear in the wrong place
reflection,i want to play with the blocks,we can play with the blocks if you want
labelled_praise,,nice work building that bridge
neutral_talk,,you are n't allowed to leave the room while i'm gone
labelled_praise,,you 're so good at driving the train
labelled_praise,,i like how gently you are playing with the toys
command,,you take the red one
neutral_talk,that would be ripped,yeah
neutral_talk,yeah,ok
question,camera,is
question,,is that the same one you have at home
command,i want to put it here,but if you put it here it will be more stable let me show you
unlabelled_praise,,great building
reflection,this one is mine,that one is yours
labelled_praise,,i love the way you cleaned up the toys
neutral_talk,it s just gonna it s gonna make it sweet,"oh , yes"
labelled_praise,,high five (physical)
reflection,roar roar,roar roar
neutral_talk,,and i found some cream and sugar
labelled_praise,,is n't that a wonderful flower you made for me
neutral_talk,blankie,"yep , it s over there"
question,,what are we going to do next
labelled_praise,,thanks for using an inside voice
neutral_talk,i'm hungry,you 'll get lunch as soon as we 're done
reflection,is it high enough,you 're wondering if it 's high enough
behavior_description,,i see that you found a way to fit it in
command,i need to color this part,you need to color that part
reflection,i am building with blue blocks,you 're building with blue blocks
reflection,,dog
question,,what does the chicken say
reflection,boom,boom
neutral_talk,,i ll put this on the chair
labelled_praise,,your eyes are cute
command,,why do n't you use the blue one
labelled_praise,i just love working with you,i love working with you
neutral_talk,,i 'll put this here
command,,could you draw a picture for me if i make a special place for it on the refrigerator
reflection,i drew an animal,you did draw an animal
command,,get over here
behavior_description,,you are having fun with these things
labelled_praise,,i like the way you set those up
question,,how many pegs did you put in
question,,do you want to stack them or spell your name
behavior_description,,i can see you are taking deep breaths
neutral_talk,,these are all different colors
reflection,i do n't want little cars,little cars
labelled_praise,,you 're polite to say excuse me
reflection,this pokemon has super powers,that pokemon does have super duper powers
neutral_talk,,that 's interesting
labelled_praise,,oops might have done this for unlabeled praises so going to up labeled praises here
question,,fig newtons
reflection,his hands are stuck,his hands are stuck
labelled_praise,naima to push that,that 's a terrific ship you made
neutral_talk,,i don t know
labelled_praise,daddy,you are considerate to share your crayons
reflection,i love cars,you love cars
command,,will you make a circle
behavior_description,,you clean up fast
behavior_description,,you 're going fast
behavior_description,,you 're using the hammer
command,,sit properly
reflection,i love castles,you love castles
command,,give me the crayon
behavior_description,,you 're putting the eyes onto mr potato head
behavior_description,,you put the lego in the bucket
behavior_description,,you are driving the car slowly
neutral_talk,why do these stick together,because they have magnets in them
negative_talk,,you are not holding the crayon right
neutral_talk,,this one is round
neutral_talk,,we 're going to have pizza for dinner tonight
neutral_talk,,okay
behavior_description,,you sat in your chair
neutral_talk,,you re welcome
question,,can you come sit down
question,plays with a red car,you 're playing with a red car
command,,hey get down this minute
labelled_praise,,you 're an angel for helping to pick up
command,,stand up
command,,the lady said you have to put the toys away
neutral_talk,,you got your yellow pants on
behavior_description,,you pushed the car down the ramp
neutral_talk,,i want to draw a blue train
command,,we have to go
reflection,,whee
labelled_praise,,you put it in the right place
neutral_talk,,cows go moo
neutral_talk,i'm flying it to the moon,bye bye
neutral_talk,i ca n't find any more white cards,you seem upset that you ca n't find any more white cards
question,,where can i put the doll 's sofa
behavior_description,,you used all the blocks
labelled_praise,,"oh man , you make the best tea"
negative_talk,,i ca n't believe you did that like that
behavior_description,,you 're driving the car
behavior_description,,you 're pushing the train on the track
unlabelled_praise,,it 's wonderful
unlabelled_praise,,that 's terrific
question,,what color is that block
neutral_talk,,it 's big
neutral_talk,,the green one goes next
neutral_talk,thank you,you 're welcome
question,,do you want the green car
behavior_description,,you 're pushing the truck up the hill
neutral_talk,,the blue block is on top
question,,do you want to play with something else
reflection,today in school i drew a picture of you,you drew a picture of me
neutral_talk,blast off,whoa
labelled_praise,,thank you for turning the light back on
question,right,how did you think of that
question,,i want to be red alright
behavior_description,bouncing up and down,you are bouncing
reflection,his collar has black circles,it has big black polka dots
command,,make it the roof
reflection,i 've got the whole rainbow here,the whole rainbow
labelled_praise,you 're pretty,we 're both pretty
question,um,should we leave this out
neutral_talk,,that is a shovel
negative_talk,i drew a tree,that does n't look like a tree
neutral_talk,,i want to check out this puzzle
neutral_talk,,the driver put gas in the car
command,yeah,if you sit down i will give you some candy
neutral_talk,it s not working anymore,hmm
neutral_talk,,you are thinking about the order
negative_talk,,ewwww
behavior_description,,you are coloring that red
labelled_praise,,look at you being such a big boy
reflection,i made superman,you made superman
command,,you and i will build a helicopter now
behavior_description,,oh you colored the flowers
command,,can you sit up
reflection,oh,oh
command,,leave the light alone
reflection,i like dolls,i know you like dolls
behavior_description,,you drew a rabbit and you gave it long ears
neutral_talk,,now
question,,which activity do you choose
neutral_talk,,i'm going to make a fence for our animals
command,,put the lego over here
behavior_description,driving cars,rolling rolling rolling
neutral_talk,,that s kinda fun
neutral_talk,,tada
neutral_talk,,maybe that s supposed to stay in there so you can put something on it
reflection,and apple,and apple
negative_talk,hey,you are being naughty
question,,can you take my temperature
labelled_praise,get some drinks,"oh , thanks for bringing the drinks"
question,,you like the dog do n't you
question,,what was that
command,,you better behave
command,,"see , you take a block then you put that to join them together"
neutral_talk,,oh
reflection,it 's time to feed the animals,you 're going to feed the animals
negative_talk,,i told you not to write on the wall
labelled_praise,no that way sorry look at one baby to drive,you are a good girl for working on your letters
command,,do it quietly please
negative_talk,,you did n't get it all
negative_talk,,just wait until i tell your dad about this
neutral_talk,,i'm putting a heart on my paper
command,,sit in the chair
reflection,i'm flying,flying
neutral_talk,,we have this at home
labelled_praise,,we are doing a careful job
neutral_talk,,you got the donut and you have a glass and you have a bowl
unlabelled_praise,,nice try
labelled_praise,,that 's a really cool potato head you 're putting together
command,,draw a basket next to your bunny
command,,sit with me
question,the car will go here,you are putting the car there
neutral_talk,,we 're going to have lunch as soon as we get home
behavior_description,stacking,you stacked the blocks
command,,do it now
neutral_talk,forks and knifes,we need another piece here
labelled_praise,,i like how you put the toys away
neutral_talk,,farmers feed their cows just like you
reflection,i do n't want to play,you do n't want to play
negative_talk,,no wonder the other kids do n't like playing with you
labelled_praise,,good job working so hard
question,,what kind of tea would you like
behavior_description,,push car
behavior_description,,that 's a strawberry pie you 're baking
behavior_description,wanna go faster,you are drawing a tree putting on bark
command,,you gotta push it down grunt
question,one more,where
negative_talk,,quit messing with the lights
command,,let 's clean up these toys before you get out another one
question,red on the outside,when
question,,do you remember how to write an e
neutral_talk,,just a sec
neutral_talk,"yeah , because you will play with me",i m going to put mine down
reflection,that was pretty quick,that was pretty quick
command,,then we ll get it
behavior_description,,you are putting the red blocks on top of the tower
unlabelled_praise,,great picture
labelled_praise,,you made a great potato head
neutral_talk,,you are trying to decide where it goes
reflection,we need bigger feet because he s six,"oh , because he s six"
behavior_description,,you built a really tall tower
reflection,the pieces keep falling off,they do keep falling off
reflection,remember when we went to grandma 's house and played with the boat like this one,i remember
neutral_talk,,you 're wanting something
reflection,i made a tall tower,you did make a tall tower
command,you read it,can you hand me the crayon
neutral_talk,i want to take off my jacket,ok
reflection,building mr potato head he 's silly,mr potato head is silly
neutral_talk,,that 's mickey mouse
behavior_description,,you 're eating the ice cream
neutral_talk,,this one s underneath it
question,male,what do you want to do now
reflection,i hate potato head,you do n't want to play with potato head
reflection,i have one of these,you do have one of those at home
labelled_praise,,i like when you do that
reflection,"this car wanted to go a little , but the silver car wanted to go a lot","oh , that silver car is gonna go some"
labelled_praise,,thank you for wiping your nose after you sneezed
command,,can you put away the toys please
negative_talk,,that 's not right
neutral_talk,where did you go yesterday,i went to the beach
command,,can you build a house
behavior_description,,you 're taking your time while putting the pieces in the puzzle
command,,okay you need to share the toys now
reflection,i am strong,you are strong
behavior_description,,you 're holding the blue dog the red parrot and the green bear
labelled_praise,,thank you for being careful
neutral_talk,,oh
question,,what are you supposed to be doing now
command,,come play with this one
neutral_talk,,you seem very happy
negative_talk,i want some candy,i want you to stop acting like a baby
neutral_talk,,if you do n't leave your room a mess tonight i 'll take you to the park tomorrow
behavior_description,,you got lots of blocks
neutral_talk,not at my real old preschool,i wonder how many there are
negative_talk,,you know better than doing that
unlabelled_praise,,there you go
neutral_talk,,i squished it
question,,you 're making the castle
reflection,cars are cool,cars are cool
reflection,i am making a road,road
question,child is wandering around the room,come over here ok
negative_talk,daddy when are you gonna go to school,that 's not how you play with that
behavior_description,,you throw rubbish
neutral_talk,i made a mess,you did n't make a mess
labelled_praise,,you cleaned up the toys so quickly
neutral_talk,,okay
command,,leave it alone
command,,remember what i said ok
neutral_talk,child puts doll in the doll house,i am going to put the chair here
question,,why did n't you finish it
command,,you need to clean up
behavior_description,,you gave me a green crayon
labelled_praise,,she is so smart because she knows all her colors
neutral_talk,,that 's the biggest one i 've ever seen
neutral_talk,,"yeah , yep"
command,a really old dad,"well , hurry up and bring him over so we can make our feast"
neutral_talk,,you seem to be feeling very happy today
neutral_talk,,that car is fast
neutral_talk,,the sheep says baaaaa
neutral_talk,,i'm drawing a house
negative_talk,,get off of there now
unlabelled_praise,i made a circle,that 's cool
command,,put the hammer in the tool kit
neutral_talk,,the doctor cat is coming to take care of the other cat
behavior_description,,you put it on
command,,you give me that hammer
reflection,i have a green one,do you want my green one
question,,where is your ear
neutral_talk,,it s no fun to play with people who are mean
reflection,,you 're making noises
command,here s a small one,"alright let s put one more right here , let s put that red one right there"
command,,grab that bin
question,dis called,how was your day
reflection,i ca n't find any more white cards,there do n't seem to be any more white cards
labelled_praise,i drew a good picture,no that 's a fantastic picture
reflection,the choo choo is turning,the train is rounding that corner
unlabelled_praise,,nice counting
neutral_talk,,i'm going to color my car yellow
negative_talk,,i hate you doing this
neutral_talk,hey,uh oh
negative_talk,somebody made a mess,this place is a dump
labelled_praise,,you 're being such a good girl by playing gently
neutral_talk,do i like okra,no you did n't eat it at grandma 's last night
neutral_talk,i like these toys,you do
neutral_talk,,alright
negative_talk,,stop whining
negative_talk,,i 'll paint your nails when we get home if you stop chewing on them now
command,,let 's build a tower and make it high
behavior_description,,you are stacking the blocks
command,,if you share this candy with your sister we can get a soda later
neutral_talk,,i wonder what this is
neutral_talk,,okay
neutral_talk,find the other one and we can put it there,this is not a one piece
negative_talk,,no thats not a good idea
labelled_praise,,you 're doing a good job staying in the lines
reflection,i'm gonna build it real high,you are going to make it really high
command,,it 's time to go please put on your shoe
command,,give me the red car
labelled_praise,,you are great at staying in the lines
neutral_talk,mumble making a wall,we ve got to have the bottom wall here
labelled_praise,i'm going to make a lincoln log house for dad,daddy loves the way you make lincoln log houses
command,,just pretend
neutral_talk,,i like to build towers
reflection,this is hard,this is hard
neutral_talk,,all you have to do is hold it steady like this
neutral_talk,what things,that is a lovely drawing
neutral_talk,,i am going to play with the horse
neutral_talk,,the doll has red hair and she has green eyes
command,,put this one over there
reflection,yellow 's my favorite,yellow is your favorite color
neutral_talk,,it is going to rain today so we ca n't go to the park
labelled_praise,,thank you for handing me the car
labelled_praise,and they all lived happily ever after,you are imaginative with your stories
labelled_praise,,good job playing gently
reflection,that s a car,oh
question,,do you want to color that blue
command,,you 'll have parent to go to the time out chair
labelled_praise,,i love the castle you made
behavior_description,,you put the blue block on the green block
unlabelled_praise,,hmm
labelled_praise,,you 're such a good clean up helper
neutral_talk,i love you,i love you too
question,,why is the horse jumping around
negative_talk,,do n't do that again
behavior_description,,you 're trying to find it
unlabelled_praise,,you 're right
behavior_description,,you found it
question,,who is in that picture
labelled_praise,,thanks for listening
question,,can i help
reflection,i think play doh is icky,you think play doh is icky
neutral_talk,,then we gonna see if the monster trucks will drive over them
question,,how do you want to build the house
negative_talk,,quit pushing
question,,why did you do that
reflection,let s put them all right side up,you want to put all of the cars right side up
neutral_talk,,ah
negative_talk,,you ca n't use the toy that way
negative_talk,,you ca n't touch that
neutral_talk,,i'm pushing the car
command,,keep your hands to yourself okay
command,,turn the light back on
reflection,blue,it sure is blue
neutral_talk,look its all him,uhhuh
negative_talk,,stop that
command,,you have to put it together like this
neutral_talk,,you have a blue dog a red parrot and a green bear
behavior_description,,oh you 're moving it closer
neutral_talk,,it 's time to go
negative_talk,,stop it with picking that one up
labelled_praise,,look at that (in an excited tone focused towards their effort or product)
command,,please hand me the red one
command,,scrape it out
neutral_talk,can we stay here forever,no we have to leave to pick up your brother from school
command,,i want you to write your name with the green crayon
neutral_talk,,we might go get ice cream when we leave
labelled_praise,i'm a good draw er,you are good at drawing
labelled_praise,,i'm glad that you shared your markers with me
negative_talk,it is the,that is mean
behavior_description,,you put the farmer in the tractor
command,uh,let is build a tower and make it high
command,,you gotta put it up
neutral_talk,,that 's mine
reflection,the crocodile lives in the water with his other friends,the crocodile lives in the water with his other friends
behavior_description,,you are putting the train tracks away in the container before playing with the legos
neutral_talk,but this is the silver car,i like that silver car
question,,do you want to put another one on
unlabelled_praise,,you 're an angel
neutral_talk,,they have lots of toys
command,,be good
negative_talk,it 's blue,it 's not blue
behavior_description,,you 're playing with the magna doodles
reflection,i need to go potty,you need to use the bathroom
command,,give me a car
negative_talk,,you made a horrible dog and made a worse cat
reflection,i'm making a road,you 're making a really long road
labelled_praise,,you did a good job playing
negative_talk,,it could be better
labelled_praise,did it go,i love how you are playing gently with the toys
neutral_talk,,i ll come get some soda
command,,why do n't you use yellow
question,,do you want some help
negative_talk,,that 's not the way it goes
labelled_praise,,you did a great job did n't you
behavior_description,he just ate it all,you did make him eat it all
reflection,these toys are silly,you 're having trouble choosing something you 'd like to play with
command,,give me the big car but let 's put the little cars away first
neutral_talk,,you wanna play with me now
neutral_talk,she told me that,i am
neutral_talk,,it 's time to pick up
neutral_talk,,now the ambulance is going to the car wash
reflection,the choo choo go zoom zoom,the train goes very fast
command,,you could use bigger ones
behavior_description,,the car is being washed in the carwash
neutral_talk,"ok , i m going to slide again",i m going to slide again too
labelled_praise,,well that is just so incredible
reflection,how long do we have to stay here,you are wondering how long we will stay here
neutral_talk,,that tower is red
behavior_description,,you are pointing to the box
neutral_talk,,"alright , we gotta find a hole for it somewhere"
neutral_talk,even though you re a grownup,mhmm
command,,put the red nose on him
reflection,i can go potty by myself,yes you can go potty by yourself
labelled_praise,,you 're so good at that
reflection,i'm scared to make it higher,you 're scared to put on another block
reflection,i'm gonna make him go super fast,super fast
labelled_praise,a big one it was a big one you go in a little school,that is a terrific ship you made
labelled_praise,,thanks for helping me clean up
neutral_talk,we need mumbled,this one
unlabelled_praise,,good boy
command,,can you clean those up
reflection,that 's a cinnamon donut,that is a cinnamon donut
neutral_talk,"hey , come on",i m following you
neutral_talk,i'm feeling tired,i'm feeling happy
neutral_talk,playing with animals,the gorilla is next to the barn
question,they just fit one eye and they might broke,they might broke
labelled_praise,no,i like how you drew the sun and folded the paper
neutral_talk,,the girl is sitting here
question,,what color is the block
labelled_praise,puts the cap on the marker,you are doing such a good job putting the caps on the markers
reflection,i love rainbows,you love rainbows
negative_talk,,that was mean
reflection,this is a rabbit,that is a rabbit
reflection,these toys are cool,these are really cool toys
behavior_description,,stacking the blocks
question,he 's got a thingy on his head does n't he,he 's got something on his head does n't he
reflection,,go boom
command,,put it over there
question,,what shape is this
behavior_description,and then she would say whatq,you are making interruption it high
negative_talk,,do n't scream
labelled_praise,,i like it when you use your manners
question,,do you like the tower i made
reflection,i want you to draw a rainbow,you would like for me to draw a rainbow
neutral_talk,,your potato head is coming near me
reflection,mommy what kind of car is this,you 're asking me what kind of car this is
behavior_description,,you 're building with blocks
neutral_talk,i 'd like to play with the legos,no it 's time to clean up
negative_talk,,here you go again not listening to me
neutral_talk,,the car is bright red and it has blue wheels
question,,is n't that so tall
labelled_praise,,thank you for sharing the toys
command,,clean up the toys first before you get out more
command,,hand me the green train
neutral_talk,let 's play with the garage,it seems like you like to play with that best
reflection,i like this toy can we get one,you like that toy
neutral_talk,child puts doll on chair,i love playing with the dollhouse
negative_talk,i'm going to draw now,because you are too lazy to finish this puzzle
neutral_talk,this is an elephant and this is the baby elephant,i remember when we went to the zoo and saw all the animals
question,,which is your favorite animal
negative_talk,,quit tapping your foot
neutral_talk,yeah,uh huh
negative_talk,,you 're not sharing with me
question,,what did you make
question,we have to pour some soda in first,"oh , where s the soda"
question,,what 's that
question,yep,what do i do with this head
question,,do you like my picture
