Speaker,Utterance
parent,you put the red dress on the doll
child,"now you have one , two , three , four , five , six"
parent,and how many do you have
parent,that one doesn t go there
parent,i have a plate for it
parent,i'm building it really high
parent,you picked it up
parent,help me
parent,now you do it
parent,you know better
parent,mommy is drawing
child,that is the lellow sun
parent,that is not how you say it say yellow
parent,please color elmo green
child,i'm having fun
parent,you are
child,somebody jumpy jumpy tail
parent,you are a good builder
parent,no no not like that
child,i'm bored
parent,your bored
parent,i like these blocks
parent,just try
child,this is hard
parent,this is so hard
child,"um , i was making a feast"
parent,"you were making a feast , got it"
parent,oh i see what you 're doing
child,i dont want it
parent,do n't leave the room
parent,are you sure
parent,here i come to get some cake
parent,no you have to follow my rules
child,oh thank you
parent,oh
parent,that valentine you made is really special
child,four
parent,sit down
child,potato and mr potato head
parent,"oh , so the picnic will be for the potato heads"
parent,i wish i had the potato head
parent,look at these cool toys
parent,you are sitting in the chair
child,this is for you
parent,this one is for me
child,uhuh
parent,that is a good tower
parent,let 's color
child,i like the blue one the best
parent,the blue one
child,i wanna do it
parent,grab the piece from there
parent,look at you
parent,you 're being really bad right now
parent,you forgot to pick up the food
parent,the easter bunny is going to love this basket
child,i think the doggy is sick
parent,he is
child,so maybe we don t have to but i was thinking of making it look like a real house
parent,it would make it look like a real house if we took off the green piece
parent,come sit at the table and color
parent,how can we connect these pieces
parent,do you need help
parent,you 're walking the bear through the grass
child,"oh , come on"
parent,"he has big , stinky feet"
child,i am building a tower
parent,you are building a tower
parent,oh do n't put that in your mouth
parent,good thinking
child,i'm building a tower
parent,it has three windows
parent,you 're embarrassing me
child,we have more of these in my class
parent,yeah your school has tons of magna tiles
parent,you 're a good girl for playing
parent,you have to pick up the toys by yourself
parent,you drew a beautiful picture
parent,"oh , it s spicy , spicy , spicy pizza"
child,let 's play with the cars
parent,ok lets do that
child,i am making a spaceship
parent,you are making a spaceship
parent,you 're trying to get the game
parent,you made a tower
child,at our picnic feast
parent,"at our picnic , but we have to make our picnic"
child,i drew an ugly cat
parent,you drew an ugly cat
parent,do you like what i am making
parent,that 's not how that goes
child,then then why do they have six
parent,is not that a lovely design you made
parent,thanks for handing me that piece
parent,great house
parent,i like that you used your nice words to tell me about your day
parent,are n't we the coolest
parent,zebras have stripes
parent,do you remember that one time we went sledding at grandma 's house
parent,can you please put the red block on next
parent,thanks for putting on your jacket
parent,what letter does your first name start with
child,a car
parent,a car
parent,these toys are so cool
parent,what 's gonna go here
child,i like captain america
parent,you like captain america
parent,you found a yellow block
parent,check it out
child,it 's a puppy
parent,it is a puppy
parent,i like that
child,"oh , this is a big one"
parent,you wanna make one big one and put it in there
parent,a t'' goes next
parent,earlier we made a tower
child,i love the color red
parent,you love the color red
parent,that train is fast
child,you can t have ketchup
parent,"oh , yeah , you could if you wanted"
parent,you are being a good problem solver
parent,it looks like you 're trying to pull those pieces apart
child,the choo choo is turning
parent,the car is turning
parent,you 're making a tower
child,i dont go to the bathroom at all
parent,put the truck here and put the car beside it
child,zipper is the most cutest cuddliest kitty in the whole world
parent,zipper cuddles you at bedtime
child,i win
parent,you won our race
child,gym is fun
parent,you 're putting the piece in the wrong place
parent,i love when you are a good boy
child,look mom i made a train
parent,oh yeah a train
child,and then i will put some pizza
parent,"oh , you have a pizza"
parent,please hand me a yellow car
parent,not yet
parent,i love that you remembered to clean up without me asking you to
parent,you 're looking angry
parent,that looks good
parent,naughty boy
parent,wow you actually are sitting still
parent,"oh , thank you so much"
parent,please hurry up
parent,do n't take off your glasses again
parent,you are stacking the red block on the green block
child,a crayon
parent,will you need this car
parent,if you stop fussing i 'll give you a new game
parent,i love how creative you are
child,the flowers need to be pink
parent,oh pink
parent,that 's a horse
parent,did you put this orange in this pot
parent,that goes in this hole right
parent,bananas are n't blue (often when children make food out of play doh or color food parents criticize lack of realism )
parent,which one is bigger
child,my name starts with m
parent,your name starts with m
parent,calm down please
parent,we got them all lined up
child,here is your ice cream
parent,ice cream
parent,you found some
child,um we can use this as a plate
parent,oh yep
parent,you 're a good builder
child,i'm a basketball player
parent,you 're great
child,brmmmm
parent,brmmmm
child,this piece do n't fit
parent,the piece does n't fit and you 've tried all the places
parent,is the baby sick
parent,put the markers back
parent,give me some of the blocks
child,oh my
parent,oh my
parent,nice balancing
child,hes gone in the market
parent,i want you to start cleaning up
parent,that 's a magnificent truck
child,the cow is making a silly face
parent,that cow is making a silly face
parent,make it high okay
parent,that 's not nice
parent,are you making a train
parent,you 're making a tall tower
child,do you like my picture
parent,trees are n't red
parent,do n't bump your head darling
parent,how long
parent,they said to play with anything
child,here 's some pancakes for you
parent,some for me
child,i m going to try this one
parent,you re trying the dump truck
parent,shut up what 's with you today
parent,it does n't go like that
parent,nice job
parent,put it in the box okay
parent,ca n't you sit on the chair
child,i want to make a helicopter
parent,no there are n't enough pieces
parent,you pushed the dump truck down again
child,poop
parent,do n't say that
child,thats cool
parent,you need to
parent,i want you to play with me
child,break
parent,might break
parent,when playdough gets stuck it s really hard to get out
parent,oh
parent,can you make a circle
parent,you finished your tree
child,"you have to put the inaudible down , but you need a big car"
parent,oh
parent,bad
parent,try and stay in the lines
parent,would you like my help
parent,i'm putting a mouth on him
parent,that one is red
parent,uh oh
parent,you should color it blue
parent,count the toys
child,i ca n't do these any good
parent,that 's not true
child,(picks up blocks)
parent,you got a lot of blocks
child,because it won t work
parent,why not
child,i win
parent,you 're awesome
parent,connecting the track
parent,you drove the train
parent,you like those animals do n't you
parent,will you sit in your seat
parent,you did that fast
child,child is climbing on parent
parent,that makes me uncomfortable
parent,those are pretty beads you 're playing with
parent,the dolly is going to sleep
parent,you are building
child,you will see the
parent,you are playing with the magna doodles
child,i know how to take them out
parent,where 's mr potato head
parent,the cow is getting a drink of water
parent,that 's creative
parent,good idea
parent,put this piece here
child,i am nice
parent,no you 're not
parent,you 're sitting in a blue chair
parent,i like those colors
child,no i don t
parent,"oh , you didn t"
parent,marshmellows
child,three
parent,i need one more because i have seven and you have eight
parent,read this letter
parent,you can erase that
parent,you are adding the block to the tower
parent,thanks for sharing the toys with me
parent,is it just the yellow playdough
parent,i only got the head of this rabbit
parent,i ll choose the fig newton flavored cupcake
parent,you 're putting the red block on top of the yellow block
parent,you 're drawing a big apple
parent,that was smart to put the big one there
child,this one no fit to right here
parent,"no , it s not a gravedigger"
parent,you do n't want to play with this anymore
parent,do n't get out of your chair
parent,you 're putting the cars in the windowsill
parent,you found more pieces
parent,i like how carefully you 're driving that car
parent,you 're playing nicely with the toys
parent,you 're putting the block there
parent,i like how gently you are playing with me
child,lipstick
parent,lipstick
parent,you are doing a great job putting the toys away in the container
parent,repeating colors
parent,the is moving around
parent,make a rooster sound why do n't you
parent,find another short log
parent,can you find the pig
parent,oh that 's a cute idea
parent,i'm driving the car over here
parent,the penguin is swimming
parent,you knocked it over
parent,was n't that exciting
child,the plane is flying
parent,it is flying
parent,you knocked mr potato head off the table
child,mhmm
parent,that s cool
parent,did n't that make a big crash
child,i'm making a gun
parent,we do n't make guns
parent,is this fun
child,okay
parent,"oh , a donut cupcake"
parent,are you putting her on there next
child,why ca n't grandpa come over tonight
parent,grandpa 's cow had a new calf
parent,put them back
child,e
parent,that 's not an e
parent,good sitting
child,you wait here
parent,ok i 'll wait here
parent,look at the adorable kitten you drew
parent,you 're the best builder i 've seen
parent,are you baking in the oven
child,in here
parent,where did it go
parent,stack it high
child,yeah
parent,your picture is pretty
parent,you 've got all five cars on your side
child,i am going to be superman
parent,superman
parent,you are a smart little boy
child,let s first
parent,"oh , some tea"
parent,that 's awesome
parent,your teacher told me that you like to play legos at school too
child,look what i made
parent,look what you made
child,i made a drawing of you
parent,that 's not very pretty
parent,i like how fast you are cleaning up
parent,will you hand me the car
parent,you 're playing with legos
parent,i do n't like it when you talk like that
parent,you put an ear on your potato head
parent,your tree looks great
child,no response
parent,a cow or a giraffe
child,take it out
parent,"oh , you so smart"
parent,where did everybody go
parent,i want to play with the cars play cars with me
parent,thank you for sharing
parent,the gorilla likes the swing huh
parent,you 're making the cars go too fast they 're going to crash
parent,you got them apart
parent,you 're trying to put it on the cabinet
parent,is this my car
child,i like to eat apples and bananas
parent,apples and bananas
parent,you 're taking such good care of that baby doll
parent,you are frying an egg
parent,darn
parent,there 's a world map on that bulletin board
child,caterpillar
parent,you are coloring outside of the lines
parent,that 's weird lookin'
parent,you started building this tower with that big block
child,and the other person
parent,um
child,under the table
parent,under the table
child,can you play with me
parent,you want me to play
parent,the fence is keeping all the animals safe
parent,thank you for sitting quietly in your seat
child,now we only have one more
parent,one more
child,do you like my picture
parent,not really
parent,you 're sitting in your chair
parent,is mommy being silly
parent,let s play with the food right now
parent,you 're not even trying
child,child 's toy tower falls
parent,well when you build it that high of course it 's going to fall stop whining about it
parent,you are coloring so neatly
parent,you did a perfect job coloring that sun
parent,and holding her gently
child,those are your ears
parent,susie pick the crayon up off the floor
parent,this is so much fun
parent,i like the way you 're working to make it high
child,they are going to have a party
parent,the animals are going to have a party
parent,catch
parent,look at the awesome picture you drew
parent,you want to build a tower
parent,do n't bump your head
parent,you 're laughing
parent,thank you for helping pick up
parent,i love how you 're staying in your seat
parent,i love it when you give me hugs
parent,you picked a red one
child,lily lily
parent,we will talk about that later
parent,i like play doh
parent,that 's wonderful
parent,you 're a good girl for trying
child,carefully
parent,put that one right there on the corner
parent,thank you for giving it to me
parent,do you want to draw
parent,why not
parent,if you do n't sit down i 'll spank you
child,when you re a grownup you can do
parent,that s true
child,child that 's a red one
parent,that 's a red one
child,i'm coloring my picture blue
parent,you are coloring it blue
parent,stop being rough
parent,are you faster than superman
child,see my guy i made
parent,uh huh
child,potato head has three arms
parent,you 're not supposed to put three arms only two
parent,you 're building a robot
child,oh whats this green
parent,i want the bird on the branch
parent,you 've got it in
parent,it looks like you might be getting ready to build
parent,i love how neatly you 're organizing the food
parent,let 's try this
parent,your choosing which crayon you want to color with
child,look at my potato head
parent,you put the ear in the wrong place
child,i want to play with the blocks
parent,we can play with the blocks if you want
parent,nice work building that bridge
parent,you are n't allowed to leave the room while i'm gone
parent,you 're so good at driving the train
parent,i like how gently you are playing with the toys
parent,you take the red one
child,that would be ripped
parent,yeah
child,yeah
parent,ok
child,camera
parent,is
parent,is that the same one you have at home
child,i want to put it here
parent,but if you put it here it will be more stable let me show you
parent,great building
child,this one is mine
parent,that one is yours
parent,i love the way you cleaned up the toys
child,it s just gonna it s gonna make it sweet
parent,"oh , yes"
parent,high five (physical)
child,roar roar
parent,roar roar
parent,and i found some cream and sugar
parent,is n't that a wonderful flower you made for me
child,blankie
parent,"yep , it s over there"
parent,what are we going to do next
parent,thanks for using an inside voice
child,i'm hungry
parent,you 'll get lunch as soon as we 're done
child,is it high enough
parent,you 're wondering if it 's high enough
parent,i see that you found a way to fit it in
child,i need to color this part
parent,you need to color that part
child,i am building with blue blocks
parent,you 're building with blue blocks
parent,dog
parent,what does the chicken say
child,boom
parent,boom
parent,i ll put this on the chair
parent,your eyes are cute
parent,why do n't you use the blue one
child,i just love working with you
parent,i love working with you
parent,i 'll put this here
parent,could you draw a picture for me if i make a special place for it on the refrigerator
child,i drew an animal
parent,you did draw an animal
parent,get over here
parent,you are having fun with these things
parent,i like the way you set those up
parent,how many pegs did you put in
parent,do you want to stack them or spell your name
parent,i can see you are taking deep breaths
parent,these are all different colors
child,i do n't want little cars
parent,little cars
parent,you 're polite to say excuse me
child,this pokemon has super powers
parent,that pokemon does have super duper powers
parent,that 's interesting
parent,oops might have done this for unlabeled praises so going to up labeled praises here
parent,fig newtons
child,his hands are stuck
parent,his hands are stuck
child,naima to push that
parent,that 's a terrific ship you made
parent,i don t know
child,daddy
parent,you are considerate to share your crayons
child,i love cars
parent,you love cars
parent,will you make a circle
parent,you clean up fast
parent,you 're going fast
parent,you 're using the hammer
parent,sit properly
child,i love castles
parent,you love castles
parent,give me the crayon
parent,you 're putting the eyes onto mr potato head
parent,you put the lego in the bucket
parent,you are driving the car slowly
child,why do these stick together
parent,because they have magnets in them
parent,you are not holding the crayon right
parent,this one is round
parent,we 're going to have pizza for dinner tonight
parent,okay
parent,you sat in your chair
parent,you re welcome
parent,can you come sit down
child,plays with a red car
parent,you 're playing with a red car
parent,hey get down this minute
parent,you 're an angel for helping to pick up
parent,stand up
parent,the lady said you have to put the toys away
parent,you got your yellow pants on
parent,you pushed the car down the ramp
parent,i want to draw a blue train
parent,we have to go
parent,whee
parent,you put it in the right place
parent,cows go moo
child,i'm flying it to the moon
parent,bye bye
child,i ca n't find any more white cards
parent,you seem upset that you ca n't find any more white cards
parent,where can i put the doll 's sofa
parent,you used all the blocks
parent,"oh man , you make the best tea"
parent,i ca n't believe you did that like that
parent,you 're driving the car
parent,you 're pushing the train on the track
parent,it 's wonderful
parent,that 's terrific
parent,what color is that block
parent,it 's big
parent,the green one goes next
child,thank you
parent,you 're welcome
parent,do you want the green car
parent,you 're pushing the truck up the hill
parent,the blue block is on top
parent,do you want to play with something else
child,today in school i drew a picture of you
parent,you drew a picture of me
child,blast off
parent,whoa
parent,thank you for turning the light back on
child,right
parent,how did you think of that
parent,i want to be red alright
child,bouncing up and down
parent,you are bouncing
child,his collar has black circles
parent,it has big black polka dots
parent,make it the roof
child,i 've got the whole rainbow here
parent,the whole rainbow
child,you 're pretty
parent,we 're both pretty
child,um
parent,should we leave this out
parent,that is a shovel
child,i drew a tree
parent,that does n't look like a tree
parent,i want to check out this puzzle
parent,the driver put gas in the car
child,yeah
parent,if you sit down i will give you some candy
child,it s not working anymore
parent,hmm
parent,you are thinking about the order
parent,ewwww
parent,you are coloring that red
parent,look at you being such a big boy
child,i made superman
parent,you made superman
parent,you and i will build a helicopter now
parent,oh you colored the flowers
parent,can you sit up
child,oh
parent,oh
parent,leave the light alone
child,i like dolls
parent,i know you like dolls
parent,you drew a rabbit and you gave it long ears
parent,now
parent,which activity do you choose
parent,i'm going to make a fence for our animals
parent,put the lego over here
child,driving cars
parent,rolling rolling rolling
parent,that s kinda fun
parent,tada
parent,maybe that s supposed to stay in there so you can put something on it
child,and apple
parent,and apple
child,hey
parent,you are being naughty
parent,can you take my temperature
child,get some drinks
parent,"oh , thanks for bringing the drinks"
parent,you like the dog do n't you
parent,what was that
parent,you better behave
parent,"see , you take a block then you put that to join them together"
parent,oh
child,it 's time to feed the animals
parent,you 're going to feed the animals
parent,i told you not to write on the wall
child,no that way sorry look at one baby to drive
parent,you are a good girl for working on your letters
parent,do it quietly please
parent,you did n't get it all
parent,just wait until i tell your dad about this
parent,i'm putting a heart on my paper
parent,sit in the chair
child,i'm flying
parent,flying
parent,we have this at home
parent,we are doing a careful job
parent,you got the donut and you have a glass and you have a bowl
parent,nice try
parent,that 's a really cool potato head you 're putting together
parent,draw a basket next to your bunny
parent,sit with me
child,the car will go here
parent,you are putting the car there
parent,we 're going to have lunch as soon as we get home
child,stacking
parent,you stacked the blocks
parent,do it now
child,forks and knifes
parent,we need another piece here
parent,i like how you put the toys away
parent,farmers feed their cows just like you
child,i do n't want to play
parent,you do n't want to play
parent,no wonder the other kids do n't like playing with you
parent,good job working so hard
parent,what kind of tea would you like
parent,push car
parent,that 's a strawberry pie you 're baking
child,wanna go faster
parent,you are drawing a tree putting on bark
parent,you gotta push it down grunt
child,one more
parent,where
parent,quit messing with the lights
parent,let 's clean up these toys before you get out another one
child,red on the outside
parent,when
parent,do you remember how to write an e
parent,just a sec
child,"yeah , because you will play with me"
parent,i m going to put mine down
child,that was pretty quick
parent,that was pretty quick
parent,then we ll get it
parent,you are putting the red blocks on top of the tower
parent,great picture
parent,you made a great potato head
parent,you are trying to decide where it goes
child,we need bigger feet because he s six
parent,"oh , because he s six"
parent,you built a really tall tower
child,the pieces keep falling off
parent,they do keep falling off
child,remember when we went to grandma 's house and played with the boat like this one
parent,i remember
parent,you 're wanting something
child,i made a tall tower
parent,you did make a tall tower
child,you read it
parent,can you hand me the crayon
child,i want to take off my jacket
parent,ok
child,building mr potato head he 's silly
parent,mr potato head is silly
parent,that 's mickey mouse
parent,you 're eating the ice cream
parent,this one s underneath it
child,male
parent,what do you want to do now
child,i hate potato head
parent,you do n't want to play with potato head
child,i have one of these
parent,you do have one of those at home
parent,i like when you do that
child,"this car wanted to go a little , but the silver car wanted to go a lot"
parent,"oh , that silver car is gonna go some"
parent,thank you for wiping your nose after you sneezed
parent,can you put away the toys please
parent,that 's not right
child,where did you go yesterday
parent,i went to the beach
parent,can you build a house
parent,you 're taking your time while putting the pieces in the puzzle
parent,okay you need to share the toys now
child,i am strong
parent,you are strong
parent,you 're holding the blue dog the red parrot and the green bear
parent,thank you for being careful
parent,oh
parent,what are you supposed to be doing now
parent,come play with this one
parent,you seem very happy
child,i want some candy
parent,i want you to stop acting like a baby
parent,if you do n't leave your room a mess tonight i 'll take you to the park tomorrow
parent,you got lots of blocks
child,not at my real old preschool
parent,i wonder how many there are
parent,you know better than doing that
parent,there you go
parent,i squished it
parent,you 're making the castle
child,cars are cool
parent,cars are cool
child,i am making a road
parent,road
child,child is wandering around the room
parent,come over here ok
child,daddy when are you gonna go to school
parent,that 's not how you play with that
parent,you throw rubbish
child,i made a mess
parent,you did n't make a mess
parent,you cleaned up the toys so quickly
parent,okay
parent,leave it alone
parent,remember what i said ok
child,child puts doll in the doll house
parent,i am going to put the chair here
parent,why did n't you finish it
parent,you need to clean up
parent,you gave me a green crayon
parent,she is so smart because she knows all her colors
parent,that 's the biggest one i 've ever seen
parent,"yeah , yep"
child,a really old dad
parent,"well , hurry up and bring him over so we can make our feast"
parent,you seem to be feeling very happy today
parent,that car is fast
parent,the sheep says baaaaa
parent,i'm drawing a house
parent,get off of there now
child,i made a circle
parent,that 's cool
parent,put the hammer in the tool kit
parent,the doctor cat is coming to take care of the other cat
parent,you put it on
parent,you give me that hammer
child,i have a green one
parent,do you want my green one
parent,where is your ear
parent,it s no fun to play with people who are mean
parent,you 're making noises
child,here s a small one
parent,"alright let s put one more right here , let s put that red one right there"
parent,grab that bin
child,dis called
parent,how was your day
child,i ca n't find any more white cards
parent,there do n't seem to be any more white cards
child,i drew a good picture
parent,no that 's a fantastic picture
child,the choo choo is turning
parent,the train is rounding that corner
parent,nice counting
parent,i'm going to color my car yellow
parent,i hate you doing this
child,hey
parent,uh oh
child,somebody made a mess
parent,this place is a dump
parent,you 're being such a good girl by playing gently
child,do i like okra
parent,no you did n't eat it at grandma 's last night
child,i like these toys
parent,you do
parent,alright
parent,stop whining
parent,i 'll paint your nails when we get home if you stop chewing on them now
parent,let 's build a tower and make it high
parent,you are stacking the blocks
parent,if you share this candy with your sister we can get a soda later
parent,i wonder what this is
parent,okay
child,find the other one and we can put it there
parent,this is not a one piece
parent,no thats not a good idea
parent,you 're doing a good job staying in the lines
child,i'm gonna build it real high
parent,you are going to make it really high
parent,it 's time to go please put on your shoe
parent,give me the red car
parent,you are great at staying in the lines
child,mumble making a wall
parent,we ve got to have the bottom wall here
child,i'm going to make a lincoln log house for dad
parent,daddy loves the way you make lincoln log houses
parent,just pretend
parent,i like to build towers
child,this is hard
parent,this is hard
parent,all you have to do is hold it steady like this
child,what things
parent,that is a lovely drawing
parent,i am going to play with the horse
parent,the doll has red hair and she has green eyes
parent,put this one over there
child,yellow 's my favorite
parent,yellow is your favorite color
parent,it is going to rain today so we ca n't go to the park
parent,thank you for handing me the car
child,and they all lived happily ever after
parent,you are imaginative with your stories
parent,good job playing gently
child,that s a car
parent,oh
parent,do you want to color that blue
parent,you 'll have parent to go to the time out chair
parent,i love the castle you made
parent,you put the blue block on the green block
parent,hmm
parent,you 're such a good clean up helper
child,i love you
parent,i love you too
parent,why is the horse jumping around
parent,do n't do that again
parent,you 're trying to find it
parent,you 're right
parent,you found it
parent,who is in that picture
parent,thanks for listening
parent,can i help
child,i think play doh is icky
parent,you think play doh is icky
parent,then we gonna see if the monster trucks will drive over them
parent,how do you want to build the house
parent,quit pushing
parent,why did you do that
child,let s put them all right side up
parent,you want to put all of the cars right side up
parent,ah
parent,you ca n't use the toy that way
parent,you ca n't touch that
parent,i'm pushing the car
parent,keep your hands to yourself okay
parent,turn the light back on
child,blue
parent,it sure is blue
child,look its all him
parent,uhhuh
parent,stop that
parent,you have to put it together like this
parent,you have a blue dog a red parrot and a green bear
parent,oh you 're moving it closer
parent,it 's time to go
parent,stop it with picking that one up
parent,look at that (in an excited tone focused towards their effort or product)
parent,please hand me the red one
parent,scrape it out
child,can we stay here forever
parent,no we have to leave to pick up your brother from school
parent,i want you to write your name with the green crayon
parent,we might go get ice cream when we leave
child,i'm a good draw er
parent,you are good at drawing
parent,i'm glad that you shared your markers with me
child,it is the
parent,that is mean
parent,you put the farmer in the tractor
child,uh
parent,let is build a tower and make it high
parent,you gotta put it up
parent,that 's mine
child,the crocodile lives in the water with his other friends
parent,the crocodile lives in the water with his other friends
parent,you are putting the train tracks away in the container before playing with the legos
child,but this is the silver car
parent,i like that silver car
parent,do you want to put another one on
parent,you 're an angel
parent,they have lots of toys
parent,be good
child,it 's blue
parent,it 's not blue
parent,you 're playing with the magna doodles
child,i need to go potty
parent,you need to use the bathroom
parent,give me a car
parent,you made a horrible dog and made a worse cat
child,i'm making a road
parent,you 're making a really long road
parent,you did a good job playing
parent,it could be better
child,did it go
parent,i love how you are playing gently with the toys
parent,i ll come get some soda
parent,why do n't you use yellow
parent,do you want some help
parent,that 's not the way it goes
parent,you did a great job did n't you
child,he just ate it all
parent,you did make him eat it all
child,these toys are silly
parent,you 're having trouble choosing something you 'd like to play with
parent,give me the big car but let 's put the little cars away first
parent,you wanna play with me now
child,she told me that
parent,i am
parent,it 's time to pick up
parent,now the ambulance is going to the car wash
child,the choo choo go zoom zoom
parent,the train goes very fast
parent,you could use bigger ones
parent,the car is being washed in the carwash
child,"ok , i m going to slide again"
parent,i m going to slide again too
parent,well that is just so incredible
child,how long do we have to stay here
parent,you are wondering how long we will stay here
parent,that tower is red
parent,you are pointing to the box
parent,"alright , we gotta find a hole for it somewhere"
child,even though you re a grownup
parent,mhmm
parent,put the red nose on him
child,i can go potty by myself
parent,yes you can go potty by yourself
parent,you 're so good at that
child,i'm scared to make it higher
parent,you 're scared to put on another block
child,i'm gonna make him go super fast
parent,super fast
child,a big one it was a big one you go in a little school
parent,that is a terrific ship you made
parent,thanks for helping me clean up
child,we need mumbled
parent,this one
parent,good boy
parent,can you clean those up
child,that 's a cinnamon donut
parent,that is a cinnamon donut
child,"hey , come on"
parent,i m following you
child,i'm feeling tired
parent,i'm feeling happy
child,playing with animals
parent,the gorilla is next to the barn
child,they just fit one eye and they might broke
parent,they might broke
child,no
parent,i like how you drew the sun and folded the paper
parent,the girl is sitting here
parent,what color is the block
child,puts the cap on the marker
parent,you are doing such a good job putting the caps on the markers
child,i love rainbows
parent,you love rainbows
parent,that was mean
child,this is a rabbit
parent,that is a rabbit
child,these toys are cool
parent,these are really cool toys
parent,stacking the blocks
child,he 's got a thingy on his head does n't he
parent,he 's got something on his head does n't he
parent,go boom
parent,put it over there
parent,what shape is this
child,and then she would say whatq
parent,you are making interruption it high
parent,do n't scream
parent,i like it when you use your manners
parent,do you like the tower i made
child,i want you to draw a rainbow
parent,you would like for me to draw a rainbow
parent,your potato head is coming near me
child,mommy what kind of car is this
parent,you 're asking me what kind of car this is
parent,you 're building with blocks
child,i 'd like to play with the legos
parent,no it 's time to clean up
parent,here you go again not listening to me
parent,the car is bright red and it has blue wheels
parent,is n't that so tall
parent,thank you for sharing the toys
parent,clean up the toys first before you get out more
parent,hand me the green train
child,let 's play with the garage
parent,it seems like you like to play with that best
child,i like this toy can we get one
parent,you like that toy
child,child puts doll on chair
parent,i love playing with the dollhouse
child,i'm going to draw now
parent,because you are too lazy to finish this puzzle
child,this is an elephant and this is the baby elephant
parent,i remember when we went to the zoo and saw all the animals
parent,which is your favorite animal
parent,quit tapping your foot
child,yeah
parent,uh huh
parent,you 're not sharing with me
parent,what did you make
child,we have to pour some soda in first
parent,"oh , where s the soda"
parent,what 's that
child,yep
parent,what do i do with this head
parent,do you like my picture
child,i'm landing my helicopter
parent,ok you 're landing it
parent,good job staying in your seat
parent,can i play with you
parent,you found another arm
child,sometimes they
parent,sometimes
parent,you made that car go fast
parent,you have all the blue pieces
parent,you put this block over here
parent,how fast can you pick up the blocks
child,can i draw some flowers
parent,you can draw flowers if you want
parent,i want you to play blocks with me
child,the train moves on the track and stops at the stop sign
parent,the train stops at the stop sign after it moves on the track
parent,this block is yellow
parent,you drew a cat
parent,put the paper in the wastebasket
parent,do you want to play with the legos
parent,come sit down
parent,what does the dolly say to the bear
child,i made the mommy horse
parent,you can draw a pony now
parent,no it does n't go that way
parent,you put all the blocks away huh
parent,will you draw a circle like this
parent,wait
parent,when you sit down i will tie your shoe
parent,you 're bad at that
parent,lovely
parent,do it
parent,i like the way you 're trying to fit it in
parent,you decided i should use blue
parent,please put it away
parent,yes you colored him blue
parent,well
parent,it 's time for you to pick up
parent,i do n't think it goes like that
parent,this one is the mommy right
child,i want some ice cream on the way home
parent,no it would spoil your dinner
parent,we need a plate for the donut
parent,you made a burger
child,and
parent,and
child,cool trucks
parent,those are cool trucks
child,pink bear
parent,oh yeah pink bear
parent,i am going to add this block
child,why are you doing that
parent,i want these on the outside
child,yeah
parent,can you help me build a wall
parent,"squish , squish , squish"
child,pine green i like pine green
parent,will you wait a minute
parent,cows are n't green
parent,you want pink again
parent,wow you almost finished the whole puzzle
parent,make one for mama
parent,why do n't we make a house and make it big and make it red
parent,the cow is going to the barn
child,this is a big block
parent,that is a big block
parent,the horse is walking
child,i do n't know where his hat is
parent,i do n't know either
parent,good going
parent,we got it to fit
child,i like this car
parent,you like that car
parent,it 's hard to build lincon logs
child,yup
parent,what do you have
parent,how bout how bout putting the other arm on the other side
child,i have a blue block
parent,no that is red
parent,awesome job using gentle hands
child,bubbles
parent,i can take the toy
child,one
parent,the piece is there
parent,you did know the right answer
parent,you think we can do that
child,dad the bus driver yelled at me again today
parent,he 's a creep
parent,you are so brave for playing with a new toy
child,build a wall
parent,i do n't want to build a wall
child,i'm going to the bathroom
parent,do n't talk to strangers
parent,leave that alone
child,maybe these
parent,"oh , okay"
parent,do you know how to do this
parent,whatever
child,this one goes there
parent,right there
child,my dolly wants the red scarf
parent,your dolly wants my dolly 's scarf
parent,what do you want to do
child,mumbled what
parent,can you find another one like this
child,i'm going to make this tower really tall so the knights and princesses can live here
parent,wow for the knights and princesses
parent,hurry up
parent,i do n't think you did it right
parent,it 's five oclock
parent,are you going to the toy box
parent,will you sit next to me
child,draws a purple giraffe
parent,giraffes are not purple
parent,what is this color
child,and we went to mcdonalds to get an ice cream
parent,and i got an ice tea
parent,we 're not supposed to yell
parent,do n't play so rough
parent,if i turn the handle will it go
child,i m gonna have this one and you can have i m gonna have this one and you can have both these two
parent,"oh , thanks"
parent,get off the table
parent,now that 's what i call a great work of art
parent,drawing a fish
child,i want to play nerf ball
parent,can you find one
parent,thanks for handing me that
parent,i found a purple one
child,this piece do n't fit
parent,this piece does n't fit
child,4 4 is 9
parent,no honey it 's eight
parent,do n't touch any of the toys
child,you are funny
parent,funny
child,i need all french fries to be in here
parent,you re taking all the french fries
child,he did it
parent,pass me the toy
parent,thanks for bringing some
parent,"oh , you did it gently"
parent,i have the crayons
parent,do you want to pick up the toys
parent,we 're going to pick up the tinker toys
parent,you 're considerate to share your crayons
child,i want to go to it
parent,take this
child,yeah
parent,yeah
child,this is my favorite toy
parent,you like this toy the most
parent,first rate
parent,sing the alphabet song
child,i dont wanna play catch
parent,i'm looking for a green piece
parent,jennie likes to play with legos
child,book
parent,no but it is a really good picture
child,(child sitting down)
parent,you 're sitting in the chair
child,here 's a piece for you
parent,i have three pieces now
parent,i'm not sure when we 'll be finished with this task
parent,did you throw it away
child,every ketch you usually say
parent,i usually say
